FEN,best_move
7k/1p3Q1p/p3Rnr1/2p5/r7/7P/1P1q1PP1/4R1K1 w - - 0 1
5nk1/ppp2ppp/1b6/5NP1/2qp1PQ1/P7/1PPr4/1K5R w - - 0 1
5b1r/p4kp1/4p3/5p1p/3P4/PBN1PPq1/Rn1BKR2/8 b - - 0 1
q7/5kp1/n4pnp/pppr4/8/1P4P1/PB3PNP/1Q1R2K1 w - - 0 1
2rnkb1r/pp1bp2p/q5p1/1N1p1pn1/2B3P1/2P1BN2/PP3P1P/R1Q2R1K w k - 0 1
Q7/2q5/8/1K1n4/4k3/8/8/8 b - - 0 1
8/6k1/p1p4p/5p1P/1b6/1P5P/PN2RPK1/2r5 w - - 0 1
r2k3r/ppq2ppp/3bp1b1/1B6/PP2n3/B1NQ4/5PPP/R3K2R w KQ - 0 1
8/5k2/6p1/B5K1/5PP1/P2r3P/8/8 b - - 0 1
8/3r2k1/6p1/1BR1bp1p/7P/3KP1P1/5P2/8 w - - 0 1
8/5p2/7p/1b3P2/4P2P/1kqBK3/2Q5/8 b - - 0 1
4q1kr/3p2pp/2b2p2/2n5/2P5/5P2/6PP/4RBK1 w - - 0 1
8/pp3p1k/2pp1q1p/6Q1/4P2R/1PPP1P2/P4P1P/7K b - - 0 1
5r2/1ppn1r1k/p3pqpp/P3p3/1PPpP3/3P1NPP/1R2QPK1/5R2 b - - 0 1
r3kbnr/pp1b1ppp/2n1p3/3pP3/3q4/3B1N2/PP3PPP/RNBQ1RK1 w kq - 0 1
1r3bQ1/1b2k3/p2pP2p/2p2R2/2n5/7P/PP4q1/2B2R1K w - - 0 1
4r3/pp4qk/2b2N2/Q4p1P/5r2/5P2/PPPN4/1K5R b - - 0 1
5b1r/4rk1p/p3ppN1/8/Pp1PQ3/1Pp5/2P2P1q/4R1RK w - - 0 1
2r3k1/ppRbppbp/6p1/n7/n2PP3/4NNP1/P4PBP/B5K1 b - - 0 1
3r1r1k/ppq3p1/2p4R/8/3P1n2/1BP5/PP2QPPb/4R2K b - - 0 1
8/7R/6pk/3q3p/4N2P/6P1/5PK1/8 b - - 0 1
7k/5q2/pp2QP1p/2p5/P7/6N1/1r4PP/5RK1 b - - 0 1
4Q1k1/pp3ppp/5n2/8/2q2B2/1n5P/PP3PP1/3R2K1 b - - 0 1
3Qq1k1/5p1p/5Pp1/p7/p7/8/1P4PP/6K1 w - - 0 1
4Q1k1/p1q2ppp/3R1n2/1pn5/2r3b1/P5N1/1B3PPP/1B1R2K1 b - - 0 1
5q1k/6b1/6Qp/p1pR4/5rBP/2P2p1P/pP3P2/3Rr1K1 w - - 0 1
8/pp3p2/4pp2/2k3rR/P1P5/1P4P1/5P1P/5K2 b - - 0 1
r2kr3/4QRPp/p7/1p1q4/8/3P2P1/PPP4P/5K2 b - - 0 1
8/7p/1b4p1/p2kBp2/2pP1K2/2n2PP1/P6P/1N6 w - - 0 1
3k4/2p3P1/5Kr1/3P4/1p6/6P1/4b3/8 w - - 0 1
r7/p2R2pp/3k4/3Ppp2/p2p4/1B3P2/1P4PP/6K1 b - - 0 1
7k/p2qr3/1p6/1Pb1Bp2/P2pp3/4P1PB/1Q3P2/6K1 b - - 0 1
8/pp4k1/4p2p/5p1Q/7r/8/P1N1BPPK/q7 w - - 0 1
5n1r/pp1k1pp1/1q2p2p/3pPP2/1n1P2P1/1P2B2P/P5r1/QN1R1RK1 w - - 0 1
6k1/5p1p/6p1/8/2n5/3K3P/1N3PP1/8 b - - 0 1
r4rk1/pp3pbp/n1pp2p1/6q1/2PpP1Q1/2N5/PP3PPP/R3RBK1 w - - 0 1
2k1r2r/2p1N1p1/1pq2p2/p3p1n1/4P3/PQ2P3/1PP5/2KR2R1 b - - 0 1
r4r2/pp2ppkp/3p2p1/2p5/P1PnP3/1PqQ3P/2P2PP1/1R3RK1 w - - 0 1
5k2/2p4p/P6q/2bP3Q/4B3/2P3P1/P6K/R4b2 b - - 0 1
3r4/p2k2pp/1p1Rpp2/P7/5P2/4B3/5P1P/6K1 b - - 0 1
4r1k1/6p1/5r1p/1p2p3/2ppP3/P6P/1PPB2P1/3QRq1K w - - 0 1
6kR/p3qpb1/1p4p1/3Pp3/b3P3/P3QNP1/r1r2PK1/B6R b - - 0 1
5k2/1pN2R1p/5pp1/8/5PP1/1r3BKP/8/6b1 b - - 0 1
rnbqk2r/ppp2ppp/5n2/3Np1B1/4P3/3P4/PPP2bPP/R2QKBNR w KQkq - 0 1
1k1r4/ppp3pp/5p2/8/8/8/P5PP/3Q3K b - - 0 1
3rR1k1/ppp2pp1/6bp/3q4/8/1N6/PPPQ1PPP/6K1 b - - 0 1
2r1k3/3pbp2/p3p3/2q5/2bBBP2/2Q5/PRP2RPr/7K w - - 0 1
1r3kr1/p1R1b2p/5p2/4n3/3q1P2/8/PPQ3PP/3R2K1 w - - 0 1
4r1k1/6p1/5r1p/1p2p3/2ppP3/P6P/1PPB2P1/3QRq1K w - - 0 1
6k1/2pb1p2/p4rp1/2b4p/P7/2PR1B1P/R4PP1/6K1 w - - 0 1
8/1p4k1/p4Qp1/2p2P2/P7/3n4/1P3R1P/4qBK1 b - - 0 1
8/5pkR/p5p1/2N5/1r4q1/4b3/PP6/1K3Q2 b - - 0 1
8/4ppkp/3r1np1/1P1PQ3/2B5/6P1/5q1P/1R4K1 w - - 0 1
2r2rk1/1p1b1ppB/p1nqp3/3p4/6Q1/P1N5/1P3PPP/R2R2K1 b - - 0 1
6k1/1r3ppp/p1N5/2R5/2pP4/6PP/Pp3P2/1R2r1K1 w - - 0 1
8/1p5k/2q4p/4Ppp1/5P1r/P2Q2PK/1P3R1P/8 w - - 0 1
8/8/6b1/2P1N3/6Pp/p6P/k1K5/8 w - - 0 1
2r3k1/1p3p2/3p2p1/1P5p/3RP3/5N2/5PPP/2R3K1 b - - 0 1
2r1rbk1/8/2P1R1p1/3pB3/p5p1/4R3/1Pb2PB1/6K1 b - - 0 1
r2Q2k1/6pp/5p2/8/5B2/6P1/p1n4P/2R4K b - - 0 1
1r2k2r/3b1ppp/8/1pp1P3/1P2q3/1n2Q3/3B1PPP/R4RK1 w k - 0 1
6k1/5ppp/4p3/p2rP3/Pp2N3/1P1RbN1P/6P1/4K3 b - - 0 1
Rn2k3/8/4K3/8/8/8/8/8 w - - 0 1
3n1rk1/2p1Qp2/1p1p3p/3P3q/1PP3R1/r3P3/8/1B3RK1 b - - 0 1
8/2r2k2/4p1p1/4b2p/8/4B2P/2R2PK1/8 b - - 0 1
r1b1k3/pp1p3p/5rp1/3N4/4p3/8/P1PbBPPP/R3K2R w KQq - 0 1
8/5pkp/6p1/8/R5P1/2PK3P/r4P2/8 b - - 0 1
r7/1b1pq2k/p3pp1p/3n4/2PNN2Q/3P4/1P3PrP/R4RK1 w - - 0 1
8/1bkRr1p1/4P2p/pp3B2/2p2P2/2K5/P6P/8 b - - 0 1
r2r4/1q3pkp/p3p1p1/2pPPb2/2P2P2/8/PQ2B1PP/4K2R w K - 0 1
8/8/2kn1nR1/2p5/6p1/6P1/3K1P1P/8 w - - 0 1
rnb1k2r/pp2pp2/2pp3p/8/3bP3/2NBB3/PPP3PP/1R2K2R w Kkq - 0 1
2rr2k1/1p2bp1p/p3p1p1/3bB3/3P1P2/P6R/BP2Q1qP/4R1K1 w - - 0 1
rr4k1/3n1p2/2p3p1/p1PppP2/P5np/1PQ1P3/3q2PP/4RRKN w - - 0 1
6k1/8/1n3bPP/B7/P1K5/2p5/8/8 w - - 0 1
1k1r4/pp2b1Np/8/4Pp2/5P2/P4B2/1r4PP/1R5K w - - 0 1
3r1k2/5p2/3r3p/p5p1/n1PR4/Pp3PP1/1P1RP2P/5K2 w - - 0 1
8/4k3/pn2p3/1pp1P2p/3n1P2/1P3BP1/P2K4/3N4 b - - 0 1